,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Autoline Ind,Auto Ancillaries,79.65,7.20,9.94,310.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autolineindustries/AI59,AUTOIND.NS
1,Exide Ind,Auto Ancillaries,172.40,13.00,8.16,14654.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,EXIDEIND.NS
2,Mah Scooters,Auto - 2 & 3 Wheelers,4484.40,327.60,7.88,5125.0,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/maharashtrascooters/MS01,MAHSCOOTER.NS
3,Subros,Auto Ancillaries,357.95,24.20,7.25,2335.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/subros/S07,SUBROS.NS
4,Ndr Auto Compon,,469.25,28.35,6.43,279.0,https://www.moneycontrol.com/india/stockpricequote/ndrautocomponents/ndrautocomponents/NAC02,NDRAUTO.NS
5,Amara Raja Batt,Auto Ancillaries,539.50,29.45,5.77,9215.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB,AMARAJABAT.NS
6,The Hi-Tech Gea,Auto Ancillaries,223.75,11.50,5.42,420.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/thehitechgears/HTG,HITECHGEAR.NS
7,Jamna Auto,Auto Ancillaries,124.10,6.05,5.12,4947.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI,JAMNAAUTO.NS
8,Precision Camsh,Auto Ancillaries,129.55,6.30,5.11,1231.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/precisioncamshafts/PC16,PRECAM.NS
9,TVS Srichakra,Tyres,2401.80,100.70,4.38,1839.0,https://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03,TVSSRICHAK.NS
10,Rico Auto,Auto Ancillaries,55.45,2.30,4.33,750.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ricoauto/RA04,RICOAUTO.NS
11,Rajratan Global,Auto Ancillaries,1144.45,42.90,3.89,5810.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/rajratanglobalwire/RGW01,RAJRATAN.NS
12,ZFCVINDIA,,9991.05,341.25,3.54,18951.0,https://www.moneycontrol.com/india/stockpricequote/zfcommercialvehiclecontrolsystemsindia/zfcommercialvehiclecontrolsystemsindia/WAB,ZFCVINDIA.NS
13,Steel Str Wheel,Auto Ancillaries,899.70,29.05,3.34,2816.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/steelstripswheels/SSW02,SSWL.NS
14,Rane Brake,Auto Ancillaries,752.65,22.25,3.05,582.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ranebrakelinings/RBL01,RBL.NS
15,Munjal Auto Ind,Auto Ancillaries,54.55,1.20,2.25,546.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04,MUNJALAU.NS
16,Force Motors,Auto - LCVs & HCVs,1321.50,28.40,2.20,1741.0,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01,FORCEMOT.NS
17,Hind Motors,Auto - Cars & Jeeps,16.80,0.35,2.13,351.0,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/hindustanmotors/HM,HINDMOTORS.NS
18,Goodyear,Tyres,1045.70,20.75,2.02,2412.0,https://www.moneycontrol.com/india/stockpricequote/tyres/goodyearindia/GI11,GOODYEAR.NS
19,Motherson SWI,Auto Ancillaries,83.30,1.50,1.83,26306.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumiwiringindia/MSW,MSUMI.NS
20,Elgi Rubber,Tyres,34.80,0.60,1.75,174.0,https://www.moneycontrol.com/india/stockpricequote/tyres/elgirubbercompany/ERC01,ELGIRUBCO.NS
21,Hind Composites,Auto Ancillaries,314.15,4.90,1.58,464.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/hindustancomposites/HC06,HINDCOMPOS.NS
22,UCAL Fuel,Auto Ancillaries,143.95,2.15,1.52,318.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS,UCALFUEL.NS
23,Pavna Ind,Auto Ancillaries,205.00,3.00,1.49,250.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/pavnaindustries/PI45,PAVNAIND.NS
24,JTEKT India ,Auto Ancillaries,96.40,1.30,1.37,2357.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jtektindia/SKS04,JTEKTINDIA.NS
25,VST Tillers,Auto - Tractors,2555.50,34.30,1.36,2208.0,https://www.moneycontrol.com/india/stockpricequote/autotractors/vsttillerstractors/VST01,VSTTILLERS.NS
26,Sharda Motor,Auto Ancillaries,804.80,10.00,1.26,2393.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shardamotorindustries/SMI04,SHARDAMOTR.NS
27,TVS Motor,Auto - 2 & 3 Wheelers,1038.05,12.20,1.19,49316.0,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,TVSMOTOR.NS
28,Federal-Mogul,Auto Ancillaries,294.25,3.35,1.15,1637.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/federalmogulgoetze/FMG,FMGOETZE.NS
29,Apollo Tyres,Tyres,254.60,2.65,1.05,16170.0,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,APOLLOTYRE.NS
30,Rane Engine,Auto Ancillaries,249.55,2.40,0.97,168.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/raneenginevalves/REV,RANEENGINE.NS
31,Banco Products,Auto Ancillaries,256.65,2.35,0.92,1836.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bancoproductsindia/BPI,BANCOINDIA.NS
32,JBM Auto,Auto Ancillaries,411.60,3.55,0.87,4867.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/jbmauto/JBM03,JBMA.NS
33,Endurance Techn,Auto - 2 & 3 Wheelers,1529.55,10.90,0.72,21515.0,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,ENDURANCE.NS
34,Lumax Auto Tech,Auto Ancillaries,279.35,1.90,0.68,1904.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01,LUMAXTECH.NS
35,Gabriel India,Auto Ancillaries,167.00,1.05,0.63,2399.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/gabrielindia/GI02,GABRIEL.NS
36,Hero Motocorp,Auto - 2 & 3 Wheelers,2842.05,16.90,0.60,56790.0,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM,HEROMOTOCO.NS
37,Ashok Leyland,Auto - LCVs & HCVs,164.60,0.95,0.58,48319.0,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL,ASHOKLEY.NS
38,Rane Madras,Auto Ancillaries,380.45,1.65,0.44,619.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/ranemadras/RM08,RML.NS
39,Shriram Pistons,Auto Ancillaries,819.45,3.50,0.43,1805.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shrirampistonsrings/SPR02,SHRIPISTON.NS
40,Remsons Ind,Auto Ancillaries,217.70,0.90,0.42,124.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/remsonsindustries/RI10,REMSONSIND.NS
41,Setco Auto,Auto Ancillaries,12.95,0.05,0.39,173.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/setcoautomotive/SA14,SETCO.NS
42,M&M,Auto - Cars & Jeeps,1320.55,4.60,0.35,164170.0,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM,M&M.NS
43,Maruti Suzuki,Auto - Cars & Jeeps,8950.05,30.45,0.34,270363.0,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24,MARUTI.NS
44,JK Tyre & Ind,Tyres,147.60,0.45,0.31,3634.0,https://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,JKTYRE.NS
45,Rane Holdings,Auto Ancillaries,851.20,2.20,0.26,1215.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/raneholdings/RH01,RANEHOLDIN.NS
46,Bosch,Auto Ancillaries,17591.10,23.00,0.13,51883.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05,BOSCHLTD.NS
47,Lumax Inds,Auto Ancillaries,1615.75,1.55,0.10,1510.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxindustries/LI05,LUMAXIND.NS
48,Minda Corp,Auto Ancillaries,223.85,0.15,0.07,5352.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindacorporation/MC23,MINDACORP.NS
49,Pricol,Auto Ancillaries,169.25,-0.05,-0.03,2063.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/pricol/P9,PRICOLLTD.NS
50,Suprajit Eng,Auto Ancillaries,339.65,-0.20,-0.06,4700.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/suprajitengineering/SE15,SUPRAJIT.NS
51,MRF,Tyres,84254.05,-102.85,-0.12,35733.0,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF,MRF.NS
52,FIEM Ind,Auto Ancillaries,1496.25,-1.85,-0.12,1969.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/fiemindustries/FIE,FIEMIND.NS
53,Sandhar Technol,Auto Ancillaries,224.55,-0.30,-0.13,1352.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/sandhartechnologies/STl06,SANDHAR.NS
54,Automotive Axle,Auto Ancillaries,2005.65,-2.75,-0.14,3031.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06,AUTOAXLES.NS
55,Sona BLW,Auto Ancillaries - Castings/Forgings,522.70,-1.30,-0.25,30544.0,https://www.moneycontrol.com/india/stockpricequote/autoancillariescastingsforgings/sonablwprecisionforgings/SBP04,SONACOMS.NS
56,MOTHERSON,,125.35,-0.35,-0.28,56628.0,https://www.moneycontrol.com/india/stockpricequote/samvardhanamothersoninternational/samvardhanamothersoninternational/MSS01,MOTHERSON.NS
57,HMT,Auto - Tractors,23.95,-0.10,-0.42,2884.0,https://www.moneycontrol.com/india/stockpricequote/autotractors/hmt/HMT,HMT.NS
58,Omax Autos,Auto Ancillaries,58.25,-0.25,-0.43,125.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/omaxautos/OA,OMAXAUTO.NS
