,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Reliance Home F,Finance - Housing,5.75,0.50,9.52,279.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/reliancehomefinance/RHF01,RHFL.NS
1,BF Investment,Finance - Investments,316.85,23.25,7.92,1193.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bfinvestment/BFI,BFINVEST.NS
2,DCB Bank,Banks - Private Sector,98.85,6.15,6.63,3075.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01,DCBBANK.NS
3,Karur Vysya,Banks - Private Sector,73.25,4.50,6.55,5862.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karurvysyabank/KVB,KARURVYSYA.NS
4,Maha Rasht Apex,Finance - Leasing & Hire Purchase,88.20,5.15,6.20,124.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/maharashtraapexcorporation/MAC02,MAHAPEXLTD.NS
5,Network 18,Media & Entertainment,75.60,3.90,5.44,7915.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/network18mediainvestments/NMI,NETWORK18.NS
6,PTC India Fin,Finance - Term Lending Institutions,16.10,0.80,5.23,1034.0,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ptcindiafinancialservices/PIF02,PFS.NS
7,DB (Int) Stock,Finance - General,23.30,1.15,5.19,82.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/dbinternationalstockbrokers/DBI,DBSTOCKBRO.NS
8,Jindal Poly Inv,Finance - General,363.95,17.30,4.99,383.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/jindalpolyinvestmentfinancecompany/JPI02,JPOLYINVST.NS
9,Rel Capital,Finance - Investments,16.00,0.75,4.92,404.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/reliancecapital/RC,RELCAPITAL.NS
10,Urja Global,Power - Generation & Distribution,12.85,0.60,4.90,716.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/urjaglobal/UG01,URJA.NS
11,BLB,Finance - Investments,22.70,1.05,4.85,120.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/blb/BLB,BLBLIMITED.NS
12,Kalyani Invest,Finance - Investments,1649.15,75.05,4.77,720.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/kalyaniinvestmentcompany/KIC04,KICL.NS
13,IDFC First Bank,Banks - Private Sector,50.80,2.25,4.63,31599.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/idfcfirstbank/IDF01,IDFCFIRSTB.NS
14,CSL Fin,Finance - Leasing & Hire Purchase,241.90,10.65,4.61,502.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cslfinance/CSL01,CSLFINANCE.NS
15,Alankit,Miscellaneous,13.70,0.60,4.58,196.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alankit/EGJ,ALANKIT.NS
16,Ugro Capital,Finance - General,203.10,8.85,4.56,1433.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/ugrocapital/CS08,UGROCAP.NS
17,Edelweiss,Finance - General,62.70,2.70,4.50,5913.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01,EDELWEISS.NS
18,SREI Infra,Finance - Leasing & Hire Purchase,4.70,0.20,4.44,236.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/sreiinfrastructurefinance/SRE02,SREINFRA.NS
19,AB Money,Finance - General,61.40,2.45,4.16,346.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/adityabirlamoney/ABM01,BIRLAMONEY.NS
20,Ujjivan Financi,Finance - General,205.90,7.60,3.83,2505.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/ujjivanfinancialservices/UFS01,UJJIVAN.NS
21,CDSL,Finance - Investments,1295.10,46.60,3.73,13534.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/centraldepositoryservicesltd/CDS,CDSL.NS
22,South Ind Bk,Banks - Private Sector,8.45,0.30,3.68,1768.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,SOUTHBANK.NS
23,Keynote Finance,Finance - General,117.40,4.05,3.57,82.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/keynotefinancialservices/KCS,KEYFINSERV.NS
24,Palash Securiti,Finance - General,91.50,3.15,3.57,92.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/palashsecurities/PS19,PALASHSECU.NS
25,Guj Lease Fin,Finance - Leasing & Hire Purchase,3.00,0.10,3.45,8.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/gujaratleasefinancing/GLF01,GLFL.NS
26,TCI Finance,Finance - Investments,4.55,0.15,3.41,6.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tcifinance/TCI01,TCIFINANCE.NS
27,Federal Bank,Banks - Private Sector,123.55,4.00,3.35,26018.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB,FEDERALBNK.NS
28,Future Consumer,Food Processing,1.70,0.05,3.03,339.0,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI,FCONSUMER.NS
29,Bandhan Bank,Banks - Private Sector,283.85,7.75,2.81,45723.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09,BANDHANBNK.NS
30,Yes Bank,Banks - Private Sector,16.65,0.45,2.78,41717.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/yesbank/YB,YESBANK.NS
31,UCO Bank,Banks - Public Sector,12.25,0.30,2.51,14646.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/ucobank/UCO,UCOBANK.NS
32,Motor and Gen F,Finance - Leasing & Hire Purchase,28.70,0.70,2.50,111.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/motorgeneralfinance/MGF,MOTOGENFIN.NS
33,Karnataka Bank,Banks - Private Sector,75.30,1.75,2.38,2344.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,KTKBANK.NS
34,L&T Finance,Finance - Investments,80.30,1.80,2.29,19882.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,L&TFH.NS
35,ILandFS,Finance - Investments,6.70,0.15,2.29,210.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ilandfsinvestmentmanagers/ILF02,IVC.NS
36,Sundaram Fin,Finance - Leasing & Hire Purchase,2177.70,48.70,2.29,24195.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/sundaramfinance/SF20,SUNDARMFIN.NS
37,JK Bank,Banks - Private Sector,31.80,0.70,2.25,3058.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/jammukashmirbank/JKB,J&KBANK.NS
38,Wealth First Po,Finance - Investments,264.45,5.70,2.20,282.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/wealthfirstportfoliomanagers/WFP,WEALTH.NS
39,Tata Inv Corp,Finance - Investments,1689.10,35.05,2.12,8546.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/tatainvestmentcorporation/TIC,TATAINVEST.NS
40,Equitas Holding,Finance - General,104.30,2.15,2.10,3565.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03,EQUITAS.NS
41,Bank of Baroda,Banks - Public Sector,133.85,2.70,2.06,69219.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB,BANKBARODA.NS
42,Almondz Global,Finance - Investments,90.60,1.80,2.03,235.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/almondzglobalsecurities/AGS,ALMONDZ.NS
43,IDFC,Finance - Term Lending Institutions,69.35,1.35,1.99,11072.0,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/idfc/IDF,IDFC.NS
44,Lakshmi Finance,Finance - General,104.35,2.00,1.95,31.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/lakshmifinanceindustrialcorporation/LFI01,LFIC.NS
45,Starteck Financ,Finance - Investments,142.45,2.65,1.90,141.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/starteckfinancelimited/NMA,STARTECK.NS
46,JM Financial,Finance - Investments,65.05,1.15,1.80,6211.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF,JMFINANCIL.NS
47,LIC Housing Fin,Finance - Housing,425.55,7.50,1.79,23408.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,LICHSGFIN.NS
48,RBL Bank,Banks - Private Sector,124.05,2.15,1.76,7437.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/rblbank/RB03,RBLBANK.NS
49,Inventure Grow,Finance - Investments,2.90,0.05,1.75,244.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/inventuregrowthsecurities/IGS,INVENTURE.NS
50,Geojit Fin,Finance - General,46.80,0.80,1.74,1119.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/geojitfinancialservices/GBN01,GEOJITFSL.NS
51,Indo Thai Secu,Finance - General,170.00,2.85,1.71,170.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/indothaisecurities/ITS,INDOTHAI.NS
52,Coral India Fin,Finance - Housing,39.20,0.65,1.69,158.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/coralindiafinancehousing/CIF02,CORALFINAC.NS
53,Manappuram Fin,Finance - Leasing & Hire Purchase,104.45,1.40,1.36,8841.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01,MANAPPURAM.NS
54,Central Bank,Banks - Public Sector,19.30,0.25,1.31,16754.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01,CENTRALBK.NS
55,PNB,Banks - Public Sector,35.70,0.45,1.28,39309.0,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/punjabnationalbank/PNB05,PNB.NS
56,Best Agrolife,,1247.35,15.60,1.27,2949.0,https://www.moneycontrol.com/india/stockpricequote/bestagrolife/bestagrolife/SCL11,BESTAGRO.NS
57,IFCI,Finance - Term Lending Institutions,12.05,0.15,1.26,2534.0,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ifci/IFC02,IFCI.NS
58,Indiabulls Hsg,Finance - Housing,134.90,1.65,1.24,6362.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,IBULHSGFIN.NS
59,Emkay Global,Finance - General,86.00,1.00,1.18,212.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/emkayglobalfinancialservices/EGF,EMKAY.NS
60,Chola Invest.,,799.75,9.25,1.17,65707.0,https://www.moneycontrol.com/india/stockpricequote/cholamandalaminvestmentfinancecompany/cholamandalaminvestmentfinancecompany/CDB,CHOLAFIN.NS
61,ICICI Bank,Banks - Private Sector,882.45,10.05,1.15,614474.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,ICICIBANK.NS
62,AU Small Financ,Banks - Private Sector,651.95,6.75,1.05,43388.0,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ausmallfinancebank/ASF02,AUBANK.NS
63,DIVOPPBEES,,45.98,0.46,1.01,37.0,https://www.moneycontrol.com/india/stockpricequote/nipponindiaetfniftydividendopportunities50/nipponindiaetfniftydividendopportunities50/RMF05,DIVOPPBEES.NS
