,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,AJR Infra & Tol,Construction & Contracting - Civil,1.65,0.15,10.00,155.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ajrinfratolling/GIP01,AJRINFRA.NS
1,Sanghi Ind,Cement - Products & Building Materials,59.15,5.35,9.94,1485.0,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/sanghiindustries/SI04,SANGHIIND.NS
2,Cera Sanitary,Ceramics & Granite,5288.65,360.40,7.31,6878.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18,CERA.NS
3,Tarmat,Construction & Contracting - Civil,62.85,4.05,6.89,134.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/tarmat/RT06,TARMAT.NS
4,Ramky Infra,Construction & Contracting - Civil,217.60,13.80,6.77,1506.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ramkyinfrastructure/RI12,RAMKY.NS
5,Everest Ind,Cement - Products & Building Materials,717.55,35.70,5.24,1125.0,https://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/everestindustries/EI19,EVERESTIND.NS
6,Bigbloc Constru,,119.00,5.65,4.98,842.0,https://www.moneycontrol.com/india/stockpricequote/bigblocconstruction/bigblocconstruction/BC19,BIGBLOC.NS
7,Supreme Infra,Construction & Contracting - Civil,38.00,1.80,4.97,98.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/supremeinfrastructureindia/SII03,SUPREMEINF.NS
8,Art Nirman,Construction & Contracting - Civil,105.65,5.00,4.97,264.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/artnirman/AN,ARTNIRMAN.NS
9,Burnpur Cement,Cement - Major,5.45,0.25,4.81,47.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/burnpurcement/BC13,BURNPUR.NS
10,Regency Ceramic,Ceramics & Granite,17.65,0.80,4.75,47.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/regencyceramics/RC04,REGENCERAM.NS
11,ITD Cementation,Construction & Contracting - Civil,114.50,5.10,4.66,1967.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/itdcementationindia/ITD03,ITDCEM.NS
12,Andhra Cement,Cement - Major,6.75,0.30,4.65,198.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/andhracement/AC16,ANDHRACEMT.NS
13,Tantia Const,Construction & Contracting - Civil,12.50,0.55,4.60,36.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/tantiaconstructions/TC15,TANTIACONS.NS
14,ILandFS Engg,Construction & Contracting - Civil,13.85,0.60,4.53,182.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ilandfsengineeringconstructioncompany/MI50,IL&FSENGG.NS
15,C & C Construct,Construction & Contracting - Civil,3.65,0.15,4.29,9.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ccconstructions/CCC01,CANDC.NS
16,Capacite Infra,,173.40,6.65,3.99,1177.0,https://www.moneycontrol.com/india/stockpricequote/capaciteinfraprojects/capaciteinfraprojects/CI19,CAPACITE.NS
17,Orient Bell,Ceramics & Granite,650.50,24.70,3.95,939.0,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/orientbell/OCI,ORIENTBELL.NS
18,Anjani Cement,Cement - Mini,241.70,8.95,3.85,611.0,https://www.moneycontrol.com/india/stockpricequote/cementmini/anjaniportlandcement/APC,APCL.NS
19,Birla Corp,Cement - Major,1005.05,36.25,3.74,7739.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07,BIRLACORPN.NS
20,Rain Industries,Cement - Major,203.90,7.30,3.71,6858.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/rainindustries/RC12,RAIN.NS
21,Welspun Enter,Construction & Contracting - Civil,123.65,4.40,3.69,1855.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/welspunenterprises/MSK,WELENT.NS
22,Guj Sidhee Cem,Cement - Major,39.35,1.30,3.42,352.0,https://www.moneycontrol.com/india/stockpricequote/cementmajor/gujaratsidheecement/GSC02,GSCLCEMENT.NS
