,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Mangalam Organ,Chemicals,621.60,48.30,8.42,532.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/mangalamorganics/DP06,MANORG.NS
1,Refex Ind,Chemicals,149.00,11.05,8.01,313.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/refexindustries/RR05,REFEX.NS
2,Chemcon Special,Speciality Chemicals,429.20,26.15,6.49,1572.0,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/chemconspecialitychemicals/CSC,CHEMCON.NS
3,Poddar Pigments,Dyes & Pigments,271.75,15.00,5.84,288.0,https://www.moneycontrol.com/india/stockpricequote/dyespigments/poddarpigments/PP15,PODDARMENT.NS
4,Vishnu Chemical,Chemicals,2027.00,96.50,5.00,2421.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/vishnuchemicals/VC17,VISHNU.NS
5,Chemfab Alkalis,Chemicals,357.95,17.00,4.99,506.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/chemfabalkalis/CA01,CHEMFAB.NS
6,Seya Industries,Chemicals,27.75,1.30,4.91,74.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/seyaindustries/SOC01,SEYAIND.NS
7,Nagarjuna Fert,Fertilisers,8.70,0.40,4.82,520.0,https://www.moneycontrol.com/india/stockpricequote/fertilisers/nagarjunafertiliserschemicals/NFC,NAGAFERT.NS
8,Solar Ind,Chemicals,3494.55,160.45,4.81,31622.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,SOLARINDS.NS
9,Standard Ind,Chemicals,25.05,1.15,4.81,161.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/standardindustries/SI36,SIL.NS
10,Shreeoswal Seed,Pesticides & Agro Chemicals,87.95,3.95,4.70,134.0,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/shreeoswalseedschemicals/SSC07,OSWALSEEDS.NS
11,Himadri Special,Chemicals,103.65,4.40,4.43,4346.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/himadrispecialitychemical/HCI01,HSCL.NS
12,Shalimar Paints,Paints & Varnishes,175.80,7.05,4.18,1270.0,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/shalimarpaints/SP13,SHALPAINTS.NS
13,Omkar Special,Chemicals,21.15,0.75,3.68,44.0,https://www.moneycontrol.com/india/stockpricequote/chemicals/omkarspecialitychemicals/OSC01,OMKARCHEM.NS
