,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Bombay Dyeing,Textiles - Processing,105.35,6.70,6.79,2176.0,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM,BOMDYEING.NS
1,Marine Electric,,34.50,2.10,6.48,423.0,https://www.moneycontrol.com/india/stockpricequote/marineelectricalsindia/marineelectricalsindia/ME21,MARINE.NS
2,Priti Internati,Diversified,197.10,9.35,4.98,205.0,https://www.moneycontrol.com/india/stockpricequote/diversified/pritiinternational/PI43,PRITI.NS
3,AKG Exim,,59.65,2.80,4.93,63.0,https://www.moneycontrol.com/india/stockpricequote/akgexim/akgexim/AE20,AKG.NS
4,Agro Phos India,Diversified,46.00,2.15,4.90,93.0,https://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API,AGROPHOS.NS
5,Marvel Decor Lt,Diversified,39.65,1.85,4.89,68.0,https://www.moneycontrol.com/india/stockpricequote/diversified/marveldecorltd/MDL,MDL.NS
6,Aster DM Health,Diversified,240.95,9.90,4.28,12036.0,https://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH,ASTERDM.NS
7,Aarvi Encon,Diversified,111.10,4.20,3.93,164.0,https://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19,AARVI.NS
8,Century,Diversified,884.10,33.05,3.88,9875.0,https://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,CENTURYTEX.NS
9,SBC Exports,Diversified,7.60,0.25,3.40,161.0,https://www.moneycontrol.com/india/stockpricequote/diversified/sbcexports/SE18,SBC.NS
10,General Insuran,Diversified,128.55,4.15,3.34,22553.0,https://www.moneycontrol.com/india/stockpricequote/diversified/generalinsurancecorporationindia/GIC12,GICRE.NS
11,Milton Industri,Diversified,17.50,0.50,2.94,30.0,https://www.moneycontrol.com/india/stockpricequote/diversified/miltonindustries/MI44,MILTON.NS
12,DCM Shriram,Diversified,1052.25,29.25,2.86,16409.0,https://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02,DCMSHRIRAM.NS
13,SHAREINDIA,Diversified,1130.25,29.05,2.64,3606.0,https://www.moneycontrol.com/india/stockpricequote/diversified/shareindia/SIS09,SHAREINDIA.NS
14,Mahindra Logist,Diversified,493.50,11.00,2.28,3551.0,https://www.moneycontrol.com/india/stockpricequote/diversified/mahindralogistics/ML04,MAHLOG.NS
15,IEX,Diversified,160.65,2.65,1.68,14437.0,https://www.moneycontrol.com/india/stockpricequote/diversified/indianenergyexchange/IEE,IEX.NS
16,Voltas,Diversified,987.25,15.75,1.62,32667.0,https://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,VOLTAS.NS
17,Grasim,Diversified,1710.75,22.85,1.35,112621.0,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,GRASIM.NS
18,IRIS Business S,,85.05,0.95,1.13,163.0,https://www.moneycontrol.com/india/stockpricequote/irisbusinessservices/irisbusinessservices/IBS01,IRIS.NS
19,Orient Paper,,33.40,0.35,1.06,709.0,https://www.moneycontrol.com/india/stockpricequote/orientpaperindustries/orientpaperindustries/OPI,ORIENTPPR.NS
20,Shree Ram Proti,Diversified,90.15,0.90,1.01,193.0,https://www.moneycontrol.com/india/stockpricequote/diversified/shreeramprotienslimited/SRP07,SRPL.NS
21,Kesoram,Diversified,52.10,0.40,0.77,1619.0,https://www.moneycontrol.com/india/stockpricequote/diversified/kesoramindustries/KI08,KESORAMIND.NS
22,Crown Lifters,Diversified,40.50,0.30,0.75,42.0,https://www.moneycontrol.com/india/stockpricequote/diversified/crownlifters/CL08,CROWN.NS
23,3M India,Diversified,23244.85,168.10,0.73,26185.0,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,3MINDIA.NS
24,Kokuyo Camlin,Diversified,76.05,0.45,0.60,763.0,https://www.moneycontrol.com/india/stockpricequote/diversified/kokuyocamlin/C02,KOKUYOCMLN.NS
25,SBI Life Insura,Diversified,1293.40,5.20,0.40,129422.0,https://www.moneycontrol.com/india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03,SBILIFE.NS
26,Hindustan Aeron,Diversified,2377.50,8.00,0.34,79501.0,https://www.moneycontrol.com/india/stockpricequote/diversified/hindustanaeronauticsltd/HAL,HAL.NS
27,Madhya Bharat A,Diversified,833.75,2.65,0.32,1826.0,https://www.moneycontrol.com/india/stockpricequote/diversified/madhyabharatagroproducts/MBA,MBAPL.NS
28,ICICI Lombard ,,1261.85,2.85,0.23,61967.0,https://www.moneycontrol.com/india/stockpricequote/icicilombardgeneralinsurancecompany/icicilombardgeneralinsurancecompany/ILG,ICICIGI.NS
29,Jash Engineerin,Diversified,737.60,1.05,0.14,881.0,https://www.moneycontrol.com/india/stockpricequote/diversified/jashengineering/JE04,JASH.NS
30,RITES,Diversified,299.00,0.40,0.13,7185.0,https://www.moneycontrol.com/india/stockpricequote/diversified/rites/R02,RITES.NS
31,South West Pinn,Diversified,183.10,0.20,0.11,511.0,https://www.moneycontrol.com/india/stockpricequote/diversified/southwestpinnacleexploration/SWP,SOUTHWEST.NS
32,Reliable Data S,Diversified,53.00,0.00,0.00,55.0,https://www.moneycontrol.com/india/stockpricequote/diversified/reliabledataservices/RDS01,RELIABLE.NS
33,NESCO,Diversified,567.60,-4.60,-0.80,3999.0,https://www.moneycontrol.com/india/stockpricequote/diversified/nesco/NES,NESCO.NS
