,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Geekay Wires,Consumer Goods - Electronic,81.20,8.40,11.54,85.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/geekaywires/GW01,GEEKAYWIRE.NS
1,Sreeleathers,Leather Products,207.70,20.95,11.22,481.0,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/sreeleathers/S20,SREEL.NS
2,Mirc Electronic,Consumer Goods - Electronic,21.80,1.35,6.60,503.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/mircelectronics/ME,MIRCELECTR.NS
3,D P Wires,Consumer Goods - Electronic,390.95,16.35,4.36,530.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/dpwires/W01,DPWIRES.NS
4,Eveready Ind,Dry Cells,359.90,11.15,3.20,2616.0,https://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02,EVEREADY.NS
5,Superhouse,Leather Products,208.70,6.00,2.96,230.0,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/superhouse/SL,SUPERHOUSE.NS
6,Indo-National,Dry Cells,342.55,7.80,2.33,257.0,https://www.moneycontrol.com/india/stockpricequote/drycells/indonational/NBC,NIPPOBATRY.NS
7,Bhartiya Inter,Leather Products,197.95,3.70,1.90,242.0,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/bhartiyainternational/BI06,BIL.NS
8,Khadim India,Leather Products,266.30,3.65,1.39,479.0,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/khadimindialimited/KIL,KHADIM.NS
9,Mirza Intl,Leather Products,322.25,3.90,1.23,3877.0,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/mirzainternational/MI46,MIRZAINT.NS
10,PG Electroplast,Consumer Goods - Electronic,898.90,9.80,1.10,1913.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/pgelectroplast/PE06,PGEL.NS
11,JHS Svendgaard,Personal Care,25.90,0.20,0.78,168.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/jhssvendgaardlaboratories/JHS01,JHS.NS
12,BPL,Consumer Goods - Electronic,69.75,0.45,0.65,341.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/bpl/BPL,BPL.NS
13,Emami,Personal Care,495.10,3.00,0.61,21841.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06,EMAMILTD.NS
14,Relaxo Footwear,Leather Products,1010.05,3.55,0.35,25143.0,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/relaxofootwears/RF07,RELAXO.NS
15,P and G,Personal Care,14125.65,33.25,0.24,45853.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,PGHH.NS
16,Jyothy Labs,Personal Care,189.30,0.15,0.08,6951.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/jyothylabs/JL,JYOTHYLAB.NS
17,Sanwaria Consum,Personal Care,0.75,0.00,0.00,55.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/sanwariaconsumer/SAO,SANWARIA.NS
18,Dabur India,Personal Care,570.10,-0.60,-0.11,101008.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,DABUR.NS
19,HUL,Personal Care,2600.60,-3.00,-0.12,611035.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,HINDUNILVR.NS
20,Liberty Shoes,Leather Products,167.00,-0.25,-0.15,285.0,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/libertyshoes/LS02,LIBERTSHOE.NS
21,Jindal Photo,Consumer Goods - Electronic,286.60,-0.55,-0.19,294.0,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/jindalphoto/JP11,JINDALPHOT.NS
22,Marico,Personal Care,520.85,-2.70,-0.52,67343.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,MARICO.NS
23,Godrej Ind,Personal Care,469.10,-2.65,-0.56,15792.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23,GODREJIND.NS
24,Colgate,Personal Care,1659.20,-16.40,-0.98,45128.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI,COLPAL.NS
25,Gillette India,Personal Care,5377.25,-63.70,-1.17,17522.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,GILLETTE.NS
26,Bata India,Leather Products,1885.00,-23.45,-1.23,24227.0,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01,BATAINDIA.NS
27,Godrej Consumer,Personal Care,893.50,-22.15,-2.42,91371.0,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP,GODREJCP.NS
