,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Suzlon Energy,Power - Generation & Distribution,10.55,1.75,19.89,10327.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/suzlonenergy/SE17,SUZLON.NS
1,Macpower,Machine Tools,278.20,35.50,14.63,278.0,https://www.moneycontrol.com/india/stockpricequote/machinetools/macpowercncmachines/MCM03,MACPOWER.NS
2,Bharat Wire Rop,Steel - Medium & Small,113.85,14.20,14.25,733.0,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/bharatwireropes/BWR01,BHARATWIRE.NS
3,Swelect Energy,Electric Equipment,350.85,40.60,13.09,532.0,https://www.moneycontrol.com/india/stockpricequote/electricequipment/swelectenergysystems/NPS,SWELECTES.NS
4,Rel Ind Infra,Infrastructure - General,1215.30,113.85,10.34,1835.0,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/relianceindustrialinfrastructure/RII,RIIL.NS
5,Manaksia Coated,Steel - Medium & Small,25.05,2.20,9.63,164.0,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/manaksiacoatedmetalsindustries/MCM02,MANAKCOAT.NS
6,Shanthi Gears,Auto Ancillaries,312.45,26.30,9.19,2397.0,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/shanthigears/SG04,SHANTIGEAR.NS
7,Universal Cable,Cables - Power & Others,228.20,17.20,8.15,792.0,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/universalcables/UC,UNIVCABLES.NS
8,Triveni Turbine,Electric Equipment,231.25,17.30,8.09,7476.0,https://www.moneycontrol.com/india/stockpricequote/electricequipment/triveniturbine/TT14,TRITURBINE.NS
9,Jaiprakash Asso,Infrastructure - General,10.15,0.70,7.41,2491.0,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,JPASSOCIAT.NS
10,A2Z Infra Eng,Power - Transmission & Equipment,13.20,0.90,7.32,232.0,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02,A2ZINFRA.NS
11,Salzer Electro,Electric Equipment,253.70,16.40,6.91,405.0,https://www.moneycontrol.com/india/stockpricequote/electricequipment/salzerelectronics/SE01,SALZERELEC.NS
12,HBL Power,Electric Equipment,93.15,5.50,6.27,2582.0,https://www.moneycontrol.com/india/stockpricequote/electricequipment/hblpowersystems/HBL02,HBLPOWER.NS
13,EngineersInd,Infrastructure - General,71.90,4.10,6.05,4041.0,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,ENGINERSIN.NS
14,Schaeffler Ind,Bearings,3320.30,178.60,5.68,51898.0,https://www.moneycontrol.com/india/stockpricequote/bearings/schaefflerindia/FAG,SCHAEFFLER.NS
