,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,SKM Egg Product,Food Processing,105.90,17.65,20.00,279.0,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/skmeggproductsexportindia/SKM,SKMEGGPROD.NS
1,Sakthi Sugars,Sugar,23.35,2.65,12.80,278.0,https://www.moneycontrol.com/india/stockpricequote/sugar/sakthisugars/SS,SAKHTISUG.NS
2,Bajaj Hindustha,Sugar,11.70,1.05,9.86,1495.0,https://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugar/BH06,BAJAJHIND.NS
3,Nakoda Group,Food Processing,135.70,6.45,4.99,151.0,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nakodagroupindustries/NGo,NGIL.NS
4,Som Distillerie,Breweries & Distilleries,104.15,4.00,3.99,729.0,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/somdistilleriesbreweries/SDB,SDBL.NS
5,Ravi Kumar Dist,Breweries & Distilleries,13.50,0.45,3.45,32.0,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/ravikumardistilleries/RKD,RKDL.NS
6,KRBL,Food Processing,321.85,9.55,3.06,7576.0,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01,KRBL.NS
7,Umang Dairies,Food Processing,64.90,1.90,3.02,143.0,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/umangdairies/UD01,UMANGDAIRY.NS
8,Manorama Indust,Food Processing,1237.60,31.10,2.58,1475.0,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/manoramaindustries/MI45,MANORAMA.NS
9,IVP,Vanaspati & Oils,161.50,4.00,2.54,167.0,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/ivp/IVP,IVP.NS
10,CCL Products,Plantations - Tea & Coffee,499.40,11.40,2.34,6643.0,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10,CCL.NS
11,KCP Sugar,Sugar,21.75,0.45,2.11,247.0,https://www.moneycontrol.com/india/stockpricequote/sugar/kcpsugarindcorp/KCP01,KCPSUGIND.NS
12,Pioneer Distill,Breweries & Distilleries,167.65,3.10,1.88,224.0,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/pioneerdistilleries/PDL,PIONDIST.NS
13,Parag Milk Food,Food Processing,117.00,1.95,1.69,1256.0,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/paragmilkfoods/PMF01,PARAGMILK.NS
