,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Celebrity Fash,Textiles - Readymade Apparels,24.95,4.15,19.95,129.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/celebrityfashions/CFL04,CELEBRITY.NS
1,Nahar Poly Film,Textiles - Spinning - Cotton Blended,384.30,28.80,8.10,945.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/naharpolyfilms/NIH,NAHARPOLY.NS
2,Delta,Electricals,75.95,5.60,7.96,82.0,https://www.moneycontrol.com/india/stockpricequote/electricals/deltamanufacturing/DM04,DELTAMAGNT.NS
3,Magnum Ventures,Paper,15.15,1.10,7.83,57.0,https://www.moneycontrol.com/india/stockpricequote/paper/magnumventures/MV04,MAGNUM.NS
4,Flexituff Ventu,Packaging,31.35,2.25,7.73,78.0,https://www.moneycontrol.com/india/stockpricequote/packaging/flexituffventuresinternational/FI08,FLEXITUFF.NS
5,Alicon Castallo,Castings & Forgings,870.85,58.65,7.22,1403.0,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06,ALICON.NS
6,Tamil Newsprint,Paper,273.80,17.45,6.81,1895.0,https://www.moneycontrol.com/india/stockpricequote/paper/tamilnadunewsprintpapers/TNN,TNPL.NS
7,Premier Polyfil,Plastics,101.65,5.95,6.22,213.0,https://www.moneycontrol.com/india/stockpricequote/plastics/premierpolyfilm/PP19,PREMIERPOL.NS
8,TCNS Clothing C,Textiles - General,699.00,35.85,5.41,4308.0,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/tcnsclothingco/TCC,TCNSBRANDS.NS
9,VIP Clothing,Textiles - Readymade Apparels,30.20,1.50,5.23,249.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/vipclothing/MI53,VIPCLOTHNG.NS
10,LGB Forge,Castings & Forgings,11.10,0.55,5.21,264.0,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/lgbforge/LGB01,LGBFORGE.NS
11,Pioneer,Textiles - Hosiery & Knitwear,47.80,2.35,5.17,127.0,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/pioneerembroideries/PE,PIONEEREMB.NS
12,AYM Syntex,Textiles - Processing,91.65,4.50,5.16,460.0,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/aymsyntex/WS01,AYMSYNTEX.NS
13,Servotech Power,Electricals,107.45,5.10,4.98,201.0,https://www.moneycontrol.com/india/stockpricequote/electricals/servotechpowersystems/SPS04,SERVOTECH.NS
14,Vinny Overseas,,48.50,2.30,4.98,49.0,https://www.moneycontrol.com/india/stockpricequote/vinnyoverseas/vinnyoverseas/VO04,VINNY.NS
15,AMD Industries,Packaging,97.05,4.60,4.98,186.0,https://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02,AMDIND.NS
16,Brand Concepts,,146.85,6.95,4.97,155.0,https://www.moneycontrol.com/india/stockpricequote/brandconcepts/brandconcepts/BCL09,BCONCEPTS.NS
17,Digjam,Textiles - Woollen & Worsted,123.75,5.85,4.96,248.0,https://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/digjam/D05,DIGJAMLMTD.NS
18,JBF Industries,Textiles - Manmade,13.85,0.65,4.92,113.0,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/jbfindustries/JBF,JBFIND.NS
19,Bannari A Spg,Textiles - General,63.10,2.95,4.90,409.0,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bannariammanspinningmills/BAS01,BASML.NS
20,Bang Overseas,Textiles - General,48.20,2.25,4.90,65.0,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bangoverseas/BO02,BANG.NS
21,Arvind,Textiles - Denim,108.95,5.05,4.86,2842.0,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18,ARVIND.NS
22,Alok Industries,Textiles - Weaving,20.60,0.95,4.83,10228.0,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/alokindustries/AI54,ALOKINDS.NS
23,Eurotex,Textiles - Spinning - Cotton Blended,10.90,0.50,4.81,10.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/eurotexindustriesexports/EIE,EUROTEXIND.NS
24,Thomas Scott,Textiles - Synthetic & Silk,39.05,1.75,4.69,22.0,https://www.moneycontrol.com/india/stockpricequote/textilessyntheticsilk/thomasscottindia/TSI01,THOMASCOTT.NS
25,Shiva Texyarn,Textiles - Spinning - Cotton Blended,173.25,7.65,4.62,225.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/shivatexyarn/ST17,SHIVATEX.NS
26,Precot,,275.25,12.05,4.58,330.0,https://www.moneycontrol.com/india/stockpricequote/precot/precot/PM,PRECOT.NS
27,Jindal Cotex,Textiles - Spinning - Cotton Blended,2.30,0.10,4.55,10.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/jindalcotex/JC,JINDCOT.NS
28,Spentex Ind,Textiles - Spinning - Cotton Blended,2.30,0.10,4.55,21.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/spentexindustries/SI35,SPENTEX.NS
29,Gokaldas Export,Textiles - Readymade Apparels,363.65,15.25,4.38,2203.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/gokaldasexports/GE05,GOKEX.NS
30,Hilton Metal,Castings & Forgings,62.15,2.60,4.37,93.0,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/hiltonmetalforging/HMF,HILTON.NS
31,Ballarpur Ind,Paper,1.20,0.05,4.35,155.0,https://www.moneycontrol.com/india/stockpricequote/paper/ballarpurindustries/BI12,BALLARPUR.NS
32,Gangotri Textil,Textiles - Spinning - Cotton Blended,1.20,0.05,4.35,4.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/gangotritextiles/GT,GANGOTRI.NS
33,Star Paper,Paper,216.95,8.75,4.20,339.0,https://www.moneycontrol.com/india/stockpricequote/paper/starpapermills/SPM04,STARPAPER.NS
34,Huhtamaki India,Packaging,209.90,8.40,4.17,1585.0,https://www.moneycontrol.com/india/stockpricequote/packaging/huhtamakiindia/PP,HUHTAMAKI.NS
35,Bhandari Hosier,Textiles - Hosiery & Knitwear,6.25,0.25,4.17,92.0,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/bhandarihosieryexports/BHE02,BHANDARI.NS
36,Oricon Ent,Packaging,37.60,1.50,4.16,590.0,https://www.moneycontrol.com/india/stockpricequote/packaging/oriconenterprises/OE03,ORICONENT.NS
37,Centum Electron,Electricals,490.20,18.90,4.01,632.0,https://www.moneycontrol.com/india/stockpricequote/electricals/centumelectronics/CE10,CENTUM.NS
38,Supreme Ind,Plastics,2060.70,78.45,3.96,26176.0,https://www.moneycontrol.com/india/stockpricequote/plastics/supremeindustries/SI48,SUPREMEIND.NS
39,Radha Madhav,Packaging,2.70,0.10,3.85,25.0,https://www.moneycontrol.com/india/stockpricequote/packaging/radhamadhavcorporation/RMC,RMCL.NS
40,TT,Textiles - Hosiery & Knitwear,95.20,3.30,3.59,205.0,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/tt/TT06,TTL.NS
41,Electrosteel,Castings & Forgings,38.25,1.30,3.52,2274.0,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/electrosteelcastings/EC02,ELECTCAST.NS
42,Metalyst Forgin,Castings & Forgings,4.45,0.15,3.49,19.0,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/metalystforgings/AF01,METALFORGE.NS
43,Rollatainers,Packaging,1.50,0.05,3.45,38.0,https://www.moneycontrol.com/india/stockpricequote/packaging/rollatainers/R05,ROLLT.NS
44,Worth Periphera,Packaging,103.95,3.45,3.43,164.0,https://www.moneycontrol.com/india/stockpricequote/packaging/worthperipherals/WP03,WORTH.NS
45,Lakshmi Prec,Fasteners,6.20,0.20,3.33,7.0,https://www.moneycontrol.com/india/stockpricequote/fasteners/lakshmiprecisionscrews/LPS,LAKPRE.NS
46,Tokyo Plast,Plastics,102.35,3.30,3.33,97.0,https://www.moneycontrol.com/india/stockpricequote/plastics/tokyoplastinternational/TPI01,TOKYOPLAST.NS
47,Kitex Garments,Textiles - Readymade Apparels,231.90,7.35,3.27,1542.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kitexgarments/KG01,KITEX.NS
48,Jain Irrigation,Plastics,42.90,1.35,3.25,2648.0,https://www.moneycontrol.com/india/stockpricequote/plastics/jainirrigationsystems/JIS02,JISLJALEQS.NS
49,Pudumjee Ind,Paper,18.55,0.55,3.06,33.0,https://www.moneycontrol.com/india/stockpricequote/paper/3plandholdings/PI36,3PLAND.NS
50,Asahi India,Glass & Glass Products,663.85,19.60,3.04,16138.0,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01,ASAHIINDIA.NS
51,Trident,Textiles - Spinning - Cotton Blended,40.95,1.20,3.02,20868.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01,TRIDENT.NS
52,Dollar Ind,Textiles - Readymade Apparels,456.50,13.35,3.01,2589.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/dollarindustries/DI29,DOLLAR.NS
53,Fiberweb India,Plastics,41.40,1.20,2.99,119.0,https://www.moneycontrol.com/india/stockpricequote/plastics/fiberwebindia/PVD,FIBERWEB.NS
54,United Polyfab ,Textiles - Readymade Apparels,43.25,1.25,2.98,91.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/unitedpolyfabgujarat/UPG,UNITEDPOLY.NS
55,Zodiac Clothing,Textiles - Readymade Apparels,95.85,2.70,2.90,237.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/zodiacclothingcompany/ZCC,ZODIACLOTH.NS
56,Pil Italica,Plastics,9.00,0.25,2.86,212.0,https://www.moneycontrol.com/india/stockpricequote/plastics/pilitalicalifestyle/PI08,PILITA.NS
57,SPL Industries,Textiles - Readymade Apparels,63.75,1.75,2.82,185.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/splindustries/SPL9,SPLIL.NS
58,Steelcast,Castings & Forgings,441.40,11.05,2.57,893.0,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/steelcast/S06,STEELCAS.NS
59,Ruchira Papers,Paper,150.00,3.65,2.49,407.0,https://www.moneycontrol.com/india/stockpricequote/paper/ruchirapapers/RP25,RUCHIRA.NS
60,Ausom Enterp,Finance - Investments,80.85,1.95,2.47,110.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ausomenterprise/CE06,AUSOMENT.NS
61,Indo Count,Textiles - Spinning - Cotton Blended,162.45,3.80,2.40,3207.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/indocountindustries/ICI07,ICIL.NS
62,Dixon Technolog,Electricals,4204.70,95.40,2.32,24952.0,https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07,DIXON.NS
63,Hind Rectifiers,Electricals,173.80,3.90,2.30,288.0,https://www.moneycontrol.com/india/stockpricequote/electricals/hindrectifiers/HR01,HIRECT.NS
64,Kalyani Forge,Castings & Forgings,192.00,3.85,2.05,70.0,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/kalyaniforge/KF02,KALYANIFRG.NS
65,Monte Carlo,Textiles - Readymade Apparels,835.65,15.65,1.91,1732.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/montecarlofashions/MC05,MONTECARLO.NS
66,Century Enka,Textiles - Manmade,467.85,8.25,1.80,1022.0,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/centuryenka/CE,CENTENKA.NS
67,Uflex,Packaging,763.50,12.85,1.71,5513.0,https://www.moneycontrol.com/india/stockpricequote/packaging/uflex/U01,UFLEX.NS
68,Jayaswal Neco,Castings & Forgings,24.00,0.40,1.69,2330.0,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/jayaswalnecoindustries/JNI02,JAYNECOIND.NS
69,Sumeet Ind,Textiles - Manmade,6.00,0.10,1.69,62.0,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/sumeetindustries/SI45,SUMEETINDS.NS
70,Raj Rayon Ind,Textiles - Processing,12.30,0.20,1.65,678.0,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/rajrayonindustries/RR01,RAJRILTD.NS
71,Genus Power,Electricals,90.70,1.45,1.62,2336.0,https://www.moneycontrol.com/india/stockpricequote/electricals/genuspowerinfrastructures/GPI08,GENUSPOWER.NS
72,AMJ Land ,Paper,32.10,0.45,1.42,132.0,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP,AMJLAND.NS
73,Banswara Syntex,Textiles - Spinning - Synthetic Blended,233.85,3.25,1.41,400.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/banswarasyntex/BS01,BANSWRAS.NS
74,Texmo Pipes,Plastics,62.50,0.85,1.38,182.0,https://www.moneycontrol.com/india/stockpricequote/plastics/texmopipesproducts/TPP,TEXMOPIPES.NS
75,NR Agarwal,Paper,380.95,5.15,1.37,648.0,https://www.moneycontrol.com/india/stockpricequote/paper/nragarwalindustries/NRA,NRAIL.NS
76,DCM,Textiles - Spinning - Cotton Blended,68.75,0.90,1.33,128.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/dcm/DCM,DCM.NS
77,Axita Cotton ,Textiles - Cotton Blended,310.00,4.00,1.31,609.0,https://www.moneycontrol.com/india/stockpricequote/textilescottonblended/axitacotton/AC29,AXITA.NS
78,Sutlej Textiles,Textiles - General,74.70,0.95,1.29,1224.0,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/sutlejtextilesindustries/STI9,SUTLEJTEX.NS
79,Ashima,Textiles - Spinning - Cotton Blended,15.80,0.20,1.28,303.0,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/ashima/A10,ASHIMASYN.NS
80,Kriti Ind,Plastics,87.25,1.10,1.28,433.0,https://www.moneycontrol.com/india/stockpricequote/plastics/kritiindustriesindia/KII,KRITI.NS
81,Nandani Creatio,Textiles - Readymade Apparels,58.30,0.70,1.22,58.0,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/nandanicreation/NC09,JAIPURKURT.NS
82,Poddar Housing ,,179.00,2.00,1.13,113.0,https://www.moneycontrol.com/india/stockpricequote/poddarhousingdevelopment/poddarhousingdevelopment/W13,PODDARHOUS.NS
