,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Dish TV,Media & Entertainment,17.00,2.80,19.72,3130.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dishtvindia/DTV,DISHTV.NS
1,TV18 Broadcast,Media & Entertainment,44.65,3.10,7.46,7655.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,TV18BRDCST.NS
2,TV TodayNetwork,Media & Entertainment,307.55,18.55,6.42,1835.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tvtodaynetwork/TVT,TVTODAY.NS
3,NDTV,Media & Entertainment,545.75,25.95,4.99,3519.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/newdelhitelevision/NDT01,NDTV.NS
4,Den Networks,Media & Entertainment,38.55,1.80,4.90,1840.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dennetworks/DN02,DEN.NS
5,Ortel Comm,Media & Entertainment,1.10,0.05,4.76,4.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/ortelcommunications/OC05,ORTEL.NS
6,PVR,Media & Entertainment,1937.65,78.20,4.21,11833.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pvr/PVR,PVR.NS
7,Eros Intl,Media & Entertainment,45.00,1.70,3.93,431.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM,EROSMEDIA.NS
8,INOX Leisure,Media & Entertainment,523.65,18.35,3.63,6406.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01,INOXLEISUR.NS
9,Next Mediaworks,Media & Entertainment,5.95,0.20,3.48,40.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/nextmediaworks/MDM01,NEXTMEDIA.NS
10,Hathway Cable,Media & Entertainment,18.70,0.60,3.31,3310.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD,HATHWAY.NS
11,Sri Adhikari,Media & Entertainment,1.60,0.05,3.23,6.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/sriadhikaribrotherstelevision/SAB,SABTN.NS
12,Diligent Media ,Media & Entertainment,3.30,0.10,3.12,39.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/diligentmediacorporationltd/DMC05,DNAMEDIA.NS
13,Raj Television,Media & Entertainment,47.95,1.45,3.12,249.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/rajtelevisionnetwork/RTN,RAJTV.NS
14,Siti Networks,Media & Entertainment,1.70,0.05,3.03,148.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/sitinetworks/WWI,SITINET.NS
15,Sona Hi Sona ,Gold,19.10,0.55,2.96,32.0,https://www.moneycontrol.com/india/stockpricequote/gold/sonahisonajewellersgujarat/SHS01,SONAHISONA.NS
16,GTPL Hathway,Media & Entertainment,179.65,4.40,2.51,2020.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/gtplhathway/GH02,GTPL.NS
17,HT Media,Media & Entertainment,21.60,0.50,2.37,503.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/htmedia/HT,HTMEDIA.NS
18,DB Corp,Media & Entertainment,108.55,2.40,2.26,1923.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,DBCORP.NS
19,SAB Events,Media & Entertainment,7.00,0.15,2.19,7.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/sabeventsgovernancenowmedia/SAB02,SABEVENTS.NS
20,Mukta Arts,Media & Entertainment,57.75,1.20,2.12,130.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/muktaarts/MA02,MUKTAARTS.NS
21,Pritish Nandy,Media & Entertainment,47.00,0.85,1.84,68.0,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pritishnandycommunications/PNC,PNC.NS
22,Rolex Rings,Metals - Castings/Forgings,1903.85,28.90,1.54,5185.0,https://www.moneycontrol.com/india/stockpricequote/metalscastingsforgings/rolexrings/RR11,ROLEXRINGS.NS
