,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Jai Corp,Steel - GP & GC Sheets,162.05,23.05,16.58,2892.0,https://www.moneycontrol.com/india/stockpricequote/steelgpgcsheets/jaicorp/JC08,JAICORPLTD.NS
1,Good Luck,Steel - Tubes & Pipes,484.10,44.75,10.19,1259.0,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/goodluckindia/GLS,GOODLUCK.NS
2,Cubex Tubings,Metals - Non Ferrous,28.45,2.45,9.42,41.0,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/cubextubings/CT05,CUBEXTUB.NS
3,MSP Steel,Steel - Sponge Iron,10.30,0.80,8.42,397.0,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/mspsteelpower/MSP,MSPL.NS
4,Shivalik Bimeta,Steel - Medium & Small,644.55,37.85,6.24,2475.0,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/shivalikbimetalcontrols/SBC01,SBCL.NS
5,Century Extr,Aluminium,14.05,0.80,6.04,112.0,https://www.moneycontrol.com/india/stockpricequote/aluminium/centuryextrusions/CE02,CENTEXT.NS
6,Manaksia Alumin,Aluminium,23.25,1.30,5.92,152.0,https://www.moneycontrol.com/india/stockpricequote/aluminium/manaksiaaluminiumcompany/MAC03,MANAKALUCO.NS
7,Gyscoal Alloys,Steel - Sponge Iron,2.95,0.15,5.36,47.0,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/gyscoalalloys/GA01,GAL.NS
8,Welspun Corp,Steel - Tubes & Pipes,254.10,12.80,5.30,6645.0,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/welspuncorp/WGS,WELCORP.NS
9,Ram Ratna Wires,Metals - Non Ferrous,375.25,17.65,4.94,826.0,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/ramratnawires/RRW,RAMRAT.NS
10,SAL Steel,Steel - Medium & Small,8.65,0.40,4.85,73.0,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/salsteel/SAL03,SALSTEEL.NS
11,Oil Country,Steel - Tubes & Pipes,9.50,0.40,4.40,42.0,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/oilcountrytubular/OCT,OILCOUNTUB.NS
12,Satvahana Ispat,Steel - Pig Iron,2.40,0.10,4.35,12.0,https://www.moneycontrol.com/india/stockpricequote/steelpigiron/sathavahanaispat/SI07,SATHAISPAT.NS
13,Grand Foundry,,3.65,0.15,4.29,11.0,https://www.moneycontrol.com/india/stockpricequote/grandfoundry/grandfoundry/GF05,GFSTEELS.NS
14,Pennar Inds,Steel - CR & HR Strips,48.05,1.85,4.00,667.0,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/pennarindustries/PI28,PENIND.NS
15,Usha Martin,Steel - Medium & Small,142.90,5.45,3.97,4355.0,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/ushamartin/UM01,USHAMART.NS
