,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Skipper,Engineering,73.90,10.95,17.39,759.0,https://www.moneycontrol.com/india/stockpricequote/engineering/skipper/S21,SKIPPER.NS
1,Linc,,304.40,33.05,12.18,453.0,https://www.moneycontrol.com/india/stockpricequote/linc/linc/LPP,LINC.NS
2,Pansari Develop,Miscellaneous,110.15,10.00,9.99,192.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/pansaridevelopers/PD08,PANSARI.NS
3,Aaron Industrie,,196.60,17.70,9.89,197.0,https://www.moneycontrol.com/india/stockpricequote/aaronindustries/aaronindustries/AI79,AARON.NS
4,Karma Energy,Power - Generation & Distribution,27.95,2.50,9.82,32.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/karmaenergy/KE9,KARMAENG.NS
5,Mittal Life Sty,Miscellaneous,12.30,1.10,9.82,18.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mittallifestyleltd/MLS,MITTAL.NS
6,Balaxi Pharma,Trading,627.45,53.70,9.36,627.0,https://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR,BALAXI.NS
7,ConfidencePetro,Miscellaneous,78.25,6.35,8.83,2222.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/confidencepetroleum/CP10,CONFIPET.NS
8,Websol Energy,Electric Equipment,97.05,6.65,7.36,356.0,https://www.moneycontrol.com/india/stockpricequote/electricequipment/websolenergysystem/WSL,WEBELSOLAR.NS
9,GRP,Rubber,1977.05,131.10,7.10,264.0,https://www.moneycontrol.com/india/stockpricequote/rubber/grp/GRR,GRPLTD.NS
10,Moksh Ornaments,Miscellaneous,15.25,0.95,6.64,82.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mokshornamentsltd/MOl02,MOKSH.NS
11,Repro India,Printing & Stationery,507.90,29.45,6.16,646.0,https://www.moneycontrol.com/india/stockpricequote/printingstationery/reproindia/RI35,REPRO.NS
12,5paisa Capita,Miscellaneous,351.40,19.60,5.91,1076.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/5paisacapital/C98,5PAISA.NS
13,Apollo Micro Sy,,156.75,8.60,5.80,325.0,https://www.moneycontrol.com/india/stockpricequote/apollomicrosystems/apollomicrosystems/AMS,APOLLO.NS
14,TCPL Packaging,Printing & Stationery,1517.20,75.95,5.27,1381.0,https://www.moneycontrol.com/india/stockpricequote/printingstationery/tcplpackaging/TCP01,TCPLPACK.NS
15,M K Proteins,Miscellaneous,220.50,10.50,5.00,92.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mkproteins/P09,MKPL.NS
16,Prolife Industr,Miscellaneous,157.70,7.50,4.99,65.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/prolifeindustries/PI42,PROLIFE.NS
17,ICE Make Refrig,Miscellaneous,235.60,11.20,4.99,372.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icemakerefrigeration/IMR,ICEMAKE.NS
18,Solex Energy,Miscellaneous,271.40,12.90,4.99,217.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/solexenergy/SE20,SOLEX.NS
19,Panache Digilif,Miscellaneous,72.80,3.45,4.97,87.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/panachedigilife/PD09,PANACHE.NS
20,Zodiac Energy,Power - Generation & Distribution,141.55,6.70,4.97,207.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/zodiacenergy/ZE01,ZODIAC.NS
21,Imagicaaworld,,42.30,2.00,4.96,1733.0,https://www.moneycontrol.com/india/stockpricequote/imagicaaworldentertainment/imagicaaworldentertainment/AE01,IMAGICAA.NS
22,Archies,Printing & Stationery,20.10,0.95,4.96,68.0,https://www.moneycontrol.com/india/stockpricequote/printingstationery/archies/A15,ARCHIES.NS
23,Kritika Wires,,34.00,1.60,4.94,302.0,https://www.moneycontrol.com/india/stockpricequote/kritikawires/kritikawires/KW,KRITIKA.NS
24,Lasa Supergener,Miscellaneous,36.15,1.70,4.93,147.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/lasasupergenerics/LS06,LASA.NS
25,Patanjali Foods,,1317.80,61.65,4.91,47704.0,https://www.moneycontrol.com/india/stockpricequote/patanjalifoods/patanjalifoods/RSI,PATANJALI.NS
26,Kshitij Polylin,,80.70,3.75,4.87,82.0,https://www.moneycontrol.com/india/stockpricequote/kshitijpolyline/kshitijpolyline/KP14,KSHITIJPOL.NS
27,Ruchinfra,Edible Oils & Solvent Extraction,8.70,0.40,4.82,179.0,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/ruchiinfrastructure/RI27,RUCHINFRA.NS
28,Beardsell,Miscellaneous,28.60,1.30,4.76,107.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/B06,BEARDSELL.NS
29,A and M Jumbo B,Miscellaneous,9.10,0.40,4.60,10.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amjumbobags/JB03,AMJUMBO.NS
30,Aspinwall,Miscellaneous,245.75,10.60,4.51,192.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aspinwallcompany/AC27,ASPINWALL.NS
31,Vaibhav Global,Retail,357.25,15.35,4.49,5883.0,https://www.moneycontrol.com/india/stockpricequote/retail/vaibhavglobal/VG02,VAIBHAVGBL.NS
32,Bombay Super,Miscellaneous,551.05,23.00,4.36,578.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bombaysuperhybridseeds/BSH,BSHSL.NS
33,Mishra Dhatu Ni,Miscellaneous,210.05,8.20,4.06,3935.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mishradhatunigamltd/MDN,MIDHANI.NS
34,Digicontent,,17.05,0.65,3.96,99.0,https://www.moneycontrol.com/india/stockpricequote/digicontent/digicontent/DGCON54268,DGCONTENT.NS
35,Mallcom (India),Miscellaneous,712.20,26.70,3.89,444.0,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/mallcomindia/MI59,MALLCOM.NS
