,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,HOEC,Oil Drilling And Exploration,165.55,3.75,2.32,2189.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/hindustanoilexplorationcompany/HOE01,HINDOILEXP.NS
1,Asian Energy,Oil Drilling And Exploration,81.70,1.65,2.06,311.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/asianenergyservices/AOS,ASIANENE.NS
2,Reliance,Refineries,2569.80,39.30,1.55,1738670.0,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,RELIANCE.NS
3,Oil India,Oil Drilling And Exploration,193.45,2.70,1.42,20978.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,OIL.NS
4,GAIL,Oil Drilling And Exploration,136.75,1.45,1.07,59943.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI,GAIL.NS
5,BPCL,Refineries,324.75,2.80,0.87,70446.0,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,BPCL.NS
6,ONGC,Oil Drilling And Exploration,133.40,0.65,0.49,167821.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG,ONGC.NS
7,Gujarat Gas,Oil Drilling And Exploration,483.20,1.85,0.38,33263.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC,GUJGASLTD.NS
8,Jindal Drilling,Oil Drilling And Exploration,242.00,0.70,0.29,701.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/jindaldrillingindustries/JDI,JINDRILL.NS
9,Mahanagar Gas,Refineries,873.75,1.70,0.19,8631.0,https://www.moneycontrol.com/india/stockpricequote/refineries/mahanagargas/MG02,MGL.NS
10,HPCL,Refineries,238.65,0.30,0.13,33854.0,https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,HINDPETRO.NS
11,Petronet LNG,Oil Drilling And Exploration,215.95,-0.55,-0.25,32393.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,PETRONET.NS
12,IOC,Refineries,70.95,-0.35,-0.49,100190.0,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,IOC.NS
13,IGL,Oil Drilling And Exploration,415.30,-2.95,-0.71,29071.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04,IGL.NS
14,Aban Offshore,Oil Drilling And Exploration,55.10,-0.40,-0.72,322.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04,ABAN.NS
15,MRPL,Refineries,71.90,-0.80,-1.10,12601.0,https://www.moneycontrol.com/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP,MRPL.NS
16,Deep Energy Res,Oil Drilling And Exploration,96.70,-1.40,-1.43,309.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/deepenergyresourceslimited/DI24,DEEPENR.NS
17,Guj State Petro,Oil Drilling And Exploration,233.70,-3.75,-1.58,13186.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,GSPL.NS
18,Chennai Petro,Refineries,280.40,-6.45,-2.25,4175.0,https://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02,CHENNPETRO.NS
19,Selan Explore,Oil Drilling And Exploration,230.50,-7.95,-3.33,350.0,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/selanexplorationtechnology/SET,SELAN.NS
