,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Albert David,Pharmaceuticals,604.50,41.55,7.38,345.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01,ALBERTDAVD.NS
1,Unichem Labs,Pharmaceuticals,341.15,21.40,6.69,2402.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/unichemlaboratories/UL02,UNICHEMLAB.NS
2,Wanbury,Pharmaceuticals,64.55,3.05,4.96,211.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wanbury/W12,WANBURY.NS
3,Gufic Bio,Pharmaceuticals,232.45,8.10,3.61,2253.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/guficbiosciences/GB04,GUFICBIO.NS
4,Country Condos,,4.35,0.15,3.57,34.0,https://www.moneycontrol.com/india/stockpricequote/countrycondos/countrycondos/CC28,COUNCODOS.NS
5,Sequent Scienti,Pharmaceuticals,118.55,4.05,3.54,2957.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sequentscientific/PID01,SEQUENT.NS
6,Alpa Labs,Pharmaceuticals,63.75,2.00,3.24,134.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alpalaboratories/AL11,ALPA.NS
7,Krebs Biochem,Pharmaceuticals,127.75,3.95,3.19,275.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/krebsbiochemicalsindustries/KBI,KREBSBIO.NS
8,Biofil Chem,Pharmaceuticals,53.55,1.65,3.18,87.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biofilchemicalspharmaceuticals/BCP,BIOFILCHEM.NS
9,Lyka Labs,Pharmaceuticals,160.15,4.80,3.09,459.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lykalabs/LL02,LYKALABS.NS
10,Wockhardt,Pharmaceuticals,242.70,7.10,3.01,3496.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wockhardt/W05,WOCKPHARMA.NS
11,JB Chemicals,Pharmaceuticals,1844.65,50.40,2.81,14265.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,JBCHEPHARM.NS
12,FDC,Pharmaceuticals,280.25,6.65,2.43,4650.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,FDC.NS
13,IOL Chemicals,Pharmaceuticals,368.00,7.70,2.14,2160.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/iolchemicalspharmaceuticals/IOL01,IOLCP.NS
14,Kopran,Pharmaceuticals,184.75,3.50,1.93,891.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/kopran/K01,KOPRAN.NS
15,JagsonpalPharma,Pharmaceuticals,383.20,7.20,1.91,1004.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jagsonpalpharmaceuticals/JP02,JAGSNPHARM.NS
16,Alkem Lab,Pharmaceuticals,3034.85,57.00,1.91,36286.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,ALKEM.NS
17,Sun Pharma,Pharmaceuticals,884.60,15.05,1.73,212245.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,SUNPHARMA.NS
18,Bal Pharma,Pharmaceuticals,95.55,1.40,1.49,149.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02,BALPHARMA.NS
19,Marksans Pharma,Pharmaceuticals,53.45,0.75,1.42,2188.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/marksanspharma/MP21,MARKSANS.NS
20,Procter&Gamble,Pharmaceuticals,4274.15,59.10,1.40,7095.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/proctergamblehealth/M12,PGHL.NS
21,Natco Pharma,Pharmaceuticals,616.50,7.70,1.26,11255.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07,NATCOPHARM.NS
22,Strides Pharma ,Pharmaceuticals,331.00,3.25,0.99,2973.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridespharmascience/SA10,STAR.NS
23,Cipla,Pharmaceuticals,1025.65,10.05,0.99,82770.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,CIPLA.NS
24,Indoco Remedies,Pharmaceuticals,368.15,3.35,0.92,3393.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indocoremedies/IR05,INDOCO.NS
25,Aurobindo Pharm,Pharmaceuticals,539.55,4.65,0.87,31614.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,AUROPHARMA.NS
26,Mangalam Drugs,Pharmaceuticals,145.85,1.25,0.86,231.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/mangalamdrugsorganics/MDO,MANGALAM.NS
27,AstraZeneca,Pharmaceuticals,3051.20,25.65,0.85,7628.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP,ASTRAZEN.NS
28,Zydus Life,,371.20,2.50,0.68,38001.0,https://www.moneycontrol.com/india/stockpricequote/zyduslifesciences/zyduslifesciences/CHC,ZYDUSLIFE.NS
29,Sun Pharma Adv,Pharmaceuticals,227.85,1.50,0.66,6195.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaadvancedresearchcompany/SPA,SPARC.NS
30,Sanofi India,Pharmaceuticals,6158.70,36.35,0.59,14184.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sanofiindia/AP26,SANOFI.NS
31,Dr Reddys Labs,Pharmaceuticals,4214.25,24.30,0.58,70146.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,DRREDDY.NS
32,Ind-Swift,Pharmaceuticals,9.20,0.05,0.55,50.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indswift/IS02,INDSWFTLTD.NS
33,Glenmark,Pharmaceuticals,371.45,1.80,0.49,10481.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,GLENMARK.NS
34,GlaxoSmithKline,Pharmaceuticals,1440.15,6.40,0.45,24397.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,GLAXO.NS
35,Pfizer,Pharmaceuticals,4277.45,18.50,0.43,19568.0,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/pfizer/P,PFIZER.NS
