,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Foce India,Retailing,410.00,30.00,7.89,201.0,https://www.moneycontrol.com/india/stockpricequote/retailing/foceindia/FI21,FOCE.NS
1,Ganesh Housing,Construction & Contracting - Housing,383.00,25.30,7.07,3194.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ganeshhousingcorporation/GHC02,GANESHHOUC.NS
2,TCI Developers,Construction & Contracting - Real Estate,397.75,24.25,6.49,148.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/tcidevelopers/TCI07,TCIDEVELOP.NS
3,DB Realty,Construction & Contracting - Real Estate,76.70,3.65,5.00,2217.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dbrealty/DR,DBREALTY.NS
4,Peninsula Land,Construction & Contracting - Housing,17.20,0.80,4.88,480.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/peninsulaland/PL10,PENINLAND.NS
5,PVP Ventures,Construction & Contracting - Real Estate,8.20,0.35,4.46,201.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/pvpventures/PVP,PVP.NS
6,Prozone Intu,Construction & Contracting - Real Estate,24.40,1.00,4.27,372.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prozoneintuproperties/PCS03,PROZONINTU.NS
7,HDIL,Construction & Contracting - Real Estate,6.15,0.25,4.24,292.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,HDIL.NS
8,Indiabulls Real,Construction & Contracting - Real Estate,90.35,3.20,3.67,4894.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/indiabullsrealestate/IRE01,IBREALEST.NS
9,Future Retail,Retail,3.50,0.10,2.94,190.0,https://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR,FRETAIL.NS
10,Future Ent,Retail,1.75,0.05,2.94,80.0,https://www.moneycontrol.com/india/stockpricequote/retail/futureenterprises/PR03,FEL.NS
11,Ashiana Housing,Construction & Contracting - Housing,154.95,4.35,2.89,1586.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ashianahousing/AH07,ASHIANA.NS
12,Brigade Ent,Construction & Contracting - Real Estate,536.35,14.50,2.78,12366.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08,BRIGADE.NS
13,Vascon Engineer,,26.80,0.55,2.10,582.0,https://www.moneycontrol.com/india/stockpricequote/vasconengineers/vasconengineers/VE01,VASCONEQ.NS
14,Prestige Estate,Construction & Contracting - Real Estate,490.15,9.55,1.99,19648.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,PRESTIGE.NS
15,Aditya Birla F,Retail,313.55,6.10,1.98,29423.0,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,ABFRL.NS
16,Anant Raj,,95.40,1.70,1.81,3092.0,https://www.moneycontrol.com/india/stockpricequote/anantraj/anantraj/ARI,ANANTRAJ.NS
17,Omaxe,Construction & Contracting - Real Estate,98.65,1.75,1.81,1804.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/omaxe/O02,OMAXE.NS
18,Cantabil Retail,Retail,1508.65,26.35,1.78,2463.0,https://www.moneycontrol.com/india/stockpricequote/retail/cantabilretailindia/CRI01,CANTABIL.NS
