,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Bajaj Health,Hospitals & Medical Services,400.10,38.70,10.71,1104.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/bajajhealthcare/BHL,BAJAJHCARE.NS
1,V2 Retail,Retail,126.15,11.65,10.17,434.0,https://www.moneycontrol.com/india/stockpricequote/retail/v2retail/VR02,V2RETAIL.NS
2,TGB Banquets,Hotels,12.25,1.10,9.87,36.0,https://www.moneycontrol.com/india/stockpricequote/hotels/tgbbanquetshotels/BBaH,TGBHOTELS.NS
3,JIK Industries,Trading,0.65,0.05,8.33,5.0,https://www.moneycontrol.com/india/stockpricequote/trading/jikindustries/JIK,JIKIND.NS
4,Shalby ,Hospitals & Medical Services,138.60,10.25,7.99,1497.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/shalby/SL18,SHALBY.NS
5,Shreyas Shippin,Shipping,395.65,21.05,5.62,869.0,https://www.moneycontrol.com/india/stockpricequote/shipping/shreyasshipping/SS12,SHREYAS.NS
6,Kothari Petro,Trading,79.25,3.95,5.25,469.0,https://www.moneycontrol.com/india/stockpricequote/trading/kotharipetrochem/KP12,KOTHARIPET.NS
7,AVG Logistics,Transport & Logistics,62.85,2.95,4.92,74.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/avglogistics/ALL02,AVG.NS
8,Jalan Transolut,Transport & Logistics,8.90,0.40,4.71,13.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/jalantransolutions/JT03,JALAN.NS
9,Reliance Naval ,Shipping,3.45,0.15,4.55,254.0,https://www.moneycontrol.com/india/stockpricequote/shipping/reliancenavalengineering/PS04,RNAVAL.NS
10,Indian Hotels,Hotels,309.95,13.35,4.50,44025.0,https://www.moneycontrol.com/india/stockpricequote/hotels/indianhotelscompany/IHC,INDHOTEL.NS
11,Mercator,Shipping,1.40,0.05,3.70,42.0,https://www.moneycontrol.com/india/stockpricequote/shipping/mercator/ML02,MERCATOR.NS
12,Goenka Diamond,Diamond Cutting & Jewellery & Precious Metals,1.90,0.05,2.70,60.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goenkadiamondjewels/GDJ01,GOENKA.NS
13,Viceroy Hotels,Hotels,1.90,0.05,2.70,8.0,https://www.moneycontrol.com/india/stockpricequote/hotels/viceroyhotels/VH04,VICEROY.NS
14,Control Print,Trading,481.95,12.30,2.62,787.0,https://www.moneycontrol.com/india/stockpricequote/trading/controlprint/CP11,CONTROLPR.NS
15,PC Jeweller,Diamond Cutting & Jewellery & Precious Metals,73.90,1.60,2.21,3439.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/pcjeweller/PJ,PCJEWELLER.NS
16,Royal Orchid,Hotels,270.05,5.80,2.19,741.0,https://www.moneycontrol.com/india/stockpricequote/hotels/royalorchidhotels/RO01,ROHLTD.NS
17,Kovai Medical,Hospitals & Medical Services,1565.80,32.00,2.09,1713.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/kovaimedicalcenterhospital/KMC02,KOVAI.NS
18,Healthcare Glob,Hospitals & Medical Services,274.50,5.50,2.04,3816.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/healthcareglobalenterprises/HGE,HCG.NS
19,Mahindra Holida,Hotels,289.20,5.15,1.81,5813.0,https://www.moneycontrol.com/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR,MHRIL.NS
20,Thyrocare Techn,Hospitals & Medical Services,631.05,11.05,1.78,3338.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/thyrocaretechnologies/TT16,THYROCARE.NS
21,Ritco Logistics,Transport & Logistics,235.45,3.95,1.71,576.0,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/ritcologistics/RL06,RITCO.NS
22,Lypsa Gems,Diamond Cutting & Jewellery & Precious Metals,6.05,0.10,1.68,18.0,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/lypsagemsjewellery/LGJ,LYPSAGEMS.NS
23,Asian Hotels,Hotels,89.65,1.30,1.47,174.0,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelsnorth/AH,ASIANHOTNR.NS
24,Lemon Tree Hote,Hotels,73.05,1.05,1.46,5787.0,https://www.moneycontrol.com/india/stockpricequote/hotels/lemontreehotelsltd/LTH,LEMONTREE.NS
25,Indraprastha,Hospitals & Medical Services,73.55,0.95,1.31,674.0,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/indraprasthamedicalcorporation/IMC03,INDRAMEDCO.NS
26,Apollo Sindoori,,869.55,10.60,1.23,226.0,https://www.moneycontrol.com/india/stockpricequote/apollosindoorihotels/apollosindoorihotels/ASH,APOLSINHOT.NS
