,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Vakrangee,Computers - Software Medium & Small,32.90,5.35,19.42,3486.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/vakrangee/VS,VAKRANGEE.NS
1,Compuage Info,Computers - Hardware,27.65,3.15,12.86,180.0,https://www.moneycontrol.com/india/stockpricequote/computershardware/compuageinfocom/CI29,COMPINFO.NS
2,R Systems Intl,Computers - Software Medium & Small,252.85,23.80,10.39,2991.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/rsystemsinternational/RSI01,RSYSTEMS.NS
3,Ducon Infratech,Computers - Software,15.95,1.45,10.00,415.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/duconinfratechnologies/DT9,DUCON.NS
4,AXISCADES Techn,Computers - Software Medium & Small,151.05,13.55,9.85,574.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/axiscadestechnologies/AXI,AXISCADES.NS
5,Saksoft,Computers - Software,1094.10,81.60,8.06,1153.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/saksoft/S12,SAKSOFT.NS
6,HCL Info,Computers - Hardware,18.30,1.25,7.33,602.0,https://www.moneycontrol.com/india/stockpricequote/computershardware/hclinfosystems/HCL,HCL-INSYS.NS
7,RS Software,Computers - Software Medium & Small,30.55,1.70,5.89,79.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/rssoftwareindia/RSS,RSSOFTWARE.NS
8,FCS Software,Computers - Software Medium & Small,3.15,0.15,5.00,539.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/fcssoftwaresolutions/FCS,FCSSOFT.NS
9,Kernex Micro,Computers - Software Medium & Small,264.10,12.55,4.99,364.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kernexmicrosystemsindia/KMI,KERNEX.NS
10,Softtech Engine,Computers - Software,151.90,7.20,4.98,154.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/softtechengineers/SE24,SOFTTECH.NS
11,Spacenet Ent,,20.05,0.95,4.97,1063.0,https://www.moneycontrol.com/india/stockpricequote/spacenetenterprisesindia/spacenetenterprisesindia/NCT,SPCENET.NS
12,Zee Learn,Computers - Software - Training,7.40,0.35,4.96,241.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/zeelearn/ZL01,ZEELEARN.NS
13,Quintegra Solut,Computers - Software Medium & Small,1.20,0.05,4.35,3.0,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/quintegrasolutions/QS01,QUINTEGRA.NS
