,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,Birla Cable,Cables - Telephone,143.85,23.95,19.97,432.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/birlacable/BEO,BIRLACABLE.NS
1,Aksh Optifibre,Cables - Telephone,13.70,2.25,19.65,223.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/akshoptifibre/AO03,AKSHOPTFBR.NS
2,GTL Infra,Telecommunications - Equipment,1.40,0.10,7.69,1767.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/gtlinfrastructure/GTL02,GTLINFRA.NS
3,Surana Telecom,Cables - Telephone,12.95,0.60,4.86,176.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/suranatelecompower/ST12,SURANAT&P.NS
4,Shyam Telecom,Telecommunications - Equipment,10.95,0.45,4.29,12.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/shyamtelecom/ST05,SHYAMTEL.NS
5,Tamil Telecom,Cables - Telephone,8.60,0.35,4.24,39.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/tamilnadutelecommunications/TT01,TNTELE.NS
6,NELCO,Telecommunications - Equipment,1028.30,41.45,4.20,2346.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/nelco/NEL,NELCO.NS
7,Vodafone Idea,Telecommunications - Service,9.30,0.35,3.91,29871.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/vodafoneidealimited/IC8,IDEA.NS
8,GTL,Telecommunications - Equipment,9.00,0.30,3.45,142.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/gtl/GTL01,GTL.NS
9,HFCL,Telecommunications - Equipment,78.70,2.30,3.01,10843.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/hfcl/HFC,HFCL.NS
10,Bhagyanagar Ind,Cables - Telephone,44.05,1.05,2.44,141.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/bhagyanagarindia/BI23,BHAGYANGR.NS
11,Olectra Greente,Telecommunications - Service,650.65,12.80,2.01,5341.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/olectragreentech/GI29,OLECTRA.NS
12,ITI,Telecommunications - Equipment,115.30,2.05,1.81,10859.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/iti/ITI,ITI.NS
13,CMI,Cables - Telephone,29.60,0.50,1.72,47.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/cmi/CMI,CMICABLES.NS
14,Tata Comm,Telecommunications - Service,1264.50,19.00,1.53,36038.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/tatacommunications/TC17,TATACOMM.NS
15,Sterlite Techno,Cables - Telephone,171.65,2.20,1.30,6830.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/sterlitetechnologies/ST20,STLTECH.NS
16,MTNL,Telecommunications - Service,24.65,0.25,1.02,1553.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/mahanagartelephonenigam/MTN,MTNL.NS
17,Finolex Cables,Cables - Telephone,462.20,3.65,0.80,7069.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01,FINCABLES.NS
18,Bharti Airtel,Telecommunications - Service,740.40,5.40,0.73,419163.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08,BHARTIARTL.NS
19,INDUS TOWERS,Telecommunications - Equipment,199.60,0.30,0.15,53791.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/industowers/BI14,INDUSTOWER.NS
20,Tejas Networks,Telecommunications - Equipment,653.70,-0.70,-0.11,9922.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/tejasnetworks/TN,TEJASNET.NS
21,Honeywell Autom,Telecommunications - Equipment,41954.05,-248.40,-0.59,37094.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04,HONAUT.NS
22,Vindhya Telelin,Cables - Telephone,1291.55,-12.60,-0.97,1531.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/vindhyatelelink/VT03,VINDHYATEL.NS
23,Uniinfo Telecom,Telecommunications - Service,24.45,-0.40,-1.61,26.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/uniinfotelecomservicesltd/UTS,UNIINFO.NS
24,TataTeleservice,Telecommunications - Service,132.75,-2.50,-1.85,25952.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/tatateleservicesmaharashtra/TTM01,TTML.NS
25,Kavveri Telecom,Telecommunications - Equipment,9.00,-0.30,-3.23,18.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/kavveritelecomproducts/KTP,KAVVERITEL.NS
26,Reliance Comm,Telecommunications - Service,2.75,-0.10,-3.51,761.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/reliancecommunications/RC13,RCOM.NS
27,MIC Electronics,Telecommunications - Equipment,14.60,-0.75,-4.89,323.0,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/micelectronics/ME12,MICEL.NS
28,Paramount Comm,Cables - Telephone,21.50,-2.05,-8.70,417.0,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/paramountcommunications/PC01,PARACABLES.NS
