,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
0,BF Utilities,Power - Generation & Distribution,457.90,49.65,12.16,1725.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU,BFUTILITIE.NS
1,Reliance Power,Power - Generation & Distribution,23.30,2.10,9.91,7922.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/reliancepower/RP,RPOWER.NS
2,S E Power,Power - Generation & Distribution,19.50,1.75,9.86,79.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sepower/SEP03,SEPOWER.NS
3,Jaiprakash Pow,Power - Generation & Distribution,9.05,0.70,8.38,6202.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jaiprakashpowerventures/JHP01,JPPOWER.NS
4,Indowind Energy,Power - Generation & Distribution,16.00,0.75,4.92,144.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/indowindenergy/IE08,INDOWIND.NS
5,Orient Green,Power - Generation & Distribution,10.00,0.45,4.71,751.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/orientgreenpowercompany/OGP,GREENPOWER.NS
6,Rattan Power,Power - Generation & Distribution,4.50,0.20,4.65,2417.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/rattanindiapower/IP09,RTNPOWER.NS
7,GVK Power,Power - Generation & Distribution,4.70,0.20,4.44,742.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/gvkpowerinfrastructure/GVK,GVKPIL.NS
8,Energy Dev,Power - Generation & Distribution,18.65,0.75,4.19,89.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/energydevelopmentcompany/EDC,ENERGYDEV.NS
9,DPSC,Power - Generation & Distribution,15.10,0.35,2.37,1470.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/dpsc/DPS,DPSCLTD.NS
10,Inox Wind,Power - Generation & Distribution,128.10,2.90,2.32,3552.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/inoxwind/IW,INOXWIND.NS
11,JSW Energy,Power - Generation & Distribution,355.90,7.10,2.04,58511.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/jswenergy/JE01,JSWENERGY.NS
12,Reliance Infra,Power - Generation & Distribution,182.70,3.55,1.98,4805.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/relianceinfrastructure/RI38,RELINFRA.NS
13,Rattanindia Ent,,51.35,0.90,1.78,7098.0,https://www.moneycontrol.com/india/stockpricequote/rattanindiaenterprises/rattanindiaenterprises/IIP,RTNINDIA.NS
14,NTPC,Power - Generation & Distribution,164.50,2.70,1.67,159510.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP,NTPC.NS
15,CESC,Power - Generation & Distribution,81.25,1.25,1.56,10770.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,CESC.NS
16,Tata Power,Power - Generation & Distribution,236.45,1.25,0.53,75554.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/tatapowercompany/TPC,TATAPOWER.NS
17,NLC India,Power - Generation & Distribution,77.90,0.25,0.32,10802.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nlcindia/NLC,NLCINDIA.NS
18,Mitcon Cons,Power - Generation & Distribution,67.20,0.15,0.22,90.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/mitconconsultancyengineeringservices/MCE01,MITCON.NS
19,Guj Ind Power,Power - Generation & Distribution,91.60,0.15,0.16,1385.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/gujaratindustriespowerco/GIP,GIPCL.NS
20,NHPC,Power - Generation & Distribution,38.90,0.05,0.13,39075.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,NHPC.NS
21,SJVN,Power - Generation & Distribution,31.20,-0.05,-0.16,12261.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/sjvn/S11,SJVN.NS
22,Power Grid Corp,Power - Generation & Distribution,223.40,-0.80,-0.36,155832.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC,POWERGRID.NS
23,Torrent Power,Power - Generation & Distribution,572.60,-4.80,-0.83,27520.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,TORNTPOWER.NS
24,Schneider Infra,Power - Generation & Distribution,140.40,-3.10,-2.16,3357.0,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/schneiderelectricinfrastructure/SEI04,SCHNEIDER.NS
